CustomerNumber,Name,FinalRouteStatus,AppliedAddressAction,FinalAddressOrNote
21267,VANNER,COMMERCIAL_ROUTE_OK,ADDRESS_CORRECTED,"1802 N Division St, Suite 304, Morris, IL 60450"
17772,INTERLAND INC,COMMERCIAL_ROUTE_OK,UNCHANGED,"Current commercial route stop retained"
11058,INTREN,COMMERCIAL_ROUTE_OK,ADDRESS_CORRECTED,"18202 W Union Rd, Union, IL 60180"
28276,VYNERA TRANSPORTATION INC,COMMERCIAL_ROUTE_OK,UNCHANGED,"Current commercial route stop retained"
28369,HIGHBOOST CORP,COMMERCIAL_ROUTE_OK,UNCHANGED,"5 Territorial Court remains a commercial/industrial route stop"
22663,ROAD KING EXPRESS INC.,COMMERCIAL_ROUTE_OK,ADDRESS_CORRECTED,"721 Parkwood Ave, Suite D, Romeoville, IL 60446; canonical Road King route stop"
20779,HERMES NVC CORP,COMMERCIAL_ROUTE_OK,UNCHANGED,"Current commercial route stop retained"
15491,LIV ENTERPRISES,COMMERCIAL_ROUTE_OK,UNCHANGED,"Current commercial route stop retained"
20507,FREIGHTECH INC,COMMERCIAL_ROUTE_OK,UNCHANGED,"Current commercial route stop retained"
23325,ZMile Inc,COMMERCIAL_ROUTE_OK,UNCHANGED,"Commercial route approval retained from completed audit"
16350,Spot Edge Trucking Inc.,COMMERCIAL_ROUTE_OK,UNCHANGED,"Current commercial route stop retained"
27388,AZSAFI,COMMERCIAL_ROUTE_OK,ADDRESS_CORRECTED,"75 Executive Dr, Suite 441, Aurora, IL 60504"
18091,PROGRESSIVE CARRIERS,COMMERCIAL_ROUTE_OK,UNCHANGED,"Current commercial route stop retained"
20672,MARTIAN EXPRESS CO,COMMERCIAL_ROUTE_OK,ADDRESS_CORRECTED,"1730 Park St, Suite 202, Naperville, IL 60563"
26334,SUNWAY CARRIERS INC.,COMMERCIAL_ROUTE_OK,ADDRESS_CORRECTED,"1200 Knell Rd, Montgomery, IL 60538"
19079,KURTEX LOGISTICS INC,COMMERCIAL_ROUTE_OK,UNCHANGED,"Current commercial route stop retained"
10366,CARGO RUNNER CO.,COMMERCIAL_ROUTE_OK,ADDRESS_CORRECTED,"145 Tower Dr, Unit 12, Burr Ridge, IL 60527"
11914,RICHARDS BUILDING SUPPLY CO,COMMERCIAL_ROUTE_OK,UNCHANGED,"Current commercial route stop retained"
25846,UBN LOGISTICS,COMMERCIAL_ROUTE_OK,ADDRESS_CORRECTED,"4699 Auvergne Ave, Unit 7, Lisle, IL 60532"
26781,C2B CARGO,COMMERCIAL_ROUTE_OK,UNCHANGED,"Current commercial route stop retained"
11179,JX TRUCK CENTER,COMMERCIAL_ROUTE_OK,UNCHANGED,"Current commercial route stop retained"
11935,ROADRUNNER TRANSPORTATION SERVICES,COMMERCIAL_ROUTE_OK,ADDRESS_CORRECTED,"850 Windham Pkwy, Bolingbrook, IL 60440"
24881,TOTAL TRUCK & AUTO,COMMERCIAL_ROUTE_OK,UNCHANGED,"Current commercial route stop retained"
15474,LEMONT TRUCK CENTER,COMMERCIAL_ROUTE_OK,UNCHANGED,"Current commercial route stop retained"
11395,MAURER TRUCK REPAIR,COMMERCIAL_ROUTE_OK,UNCHANGED,"Current commercial route stop retained"
15096,EXPERT TRUCK AND TRAILER SERVICES,COMMERCIAL_ROUTE_OK,UNCHANGED,"Current commercial route stop retained"
12389,VILLAGE OF DOWNERS GROVE,COMMERCIAL_ROUTE_OK,UNCHANGED,"Current commercial route stop retained"
26423,MAUL PAVING INC.,COMMERCIAL_ROUTE_OK,UNCHANGED,"Current commercial route stop retained"
11218,KITS TOWING,COMMERCIAL_ROUTE_OK,UNCHANGED,"Current commercial route stop retained"
21986,HEAVY DUTY TRUCK REPAIR INC,COMMERCIAL_ROUTE_OK,UNCHANGED,"Current commercial route stop retained"
27727,UZB TRANS INC,RESIDENTIAL_DO_NOT_ROUTE,ADDRESS_CORRECTED,"10S530 Thames Dr, Downers Grove, IL 60516"
11771,PJ TWINS INC.,RESIDENTIAL_DO_NOT_ROUTE,ADDRESS_CORRECTED,"1024 Brentwood Cir, Buffalo Grove, IL 60089"
23016,GIZA TRUCKING LLC,RESIDENTIAL_DO_NOT_ROUTE,UNCHANGED,"2140 Fulham Dr, Naperville; customer retained but home address blocked"
18153,AFF TRANS LLC,RESIDENTIAL_DO_NOT_ROUTE,ADDRESS_CORRECTED,"2451 Sharon Ct, Naperville, IL 60565"
11252,KZ EXPRESS INC,RESIDENTIAL_DO_NOT_ROUTE,ADDRESS_CORRECTED,"672 Banbury Way, Bolingbrook, IL 60440"
26145,RG TRANSPORT,RESIDENTIAL_DO_NOT_ROUTE,UNCHANGED,"411 Porter St, Lemont; stored/home stop blocked"
17219,MLAZ LOGISTICS,RESIDENTIAL_DO_NOT_ROUTE,UNCHANGED,"1905 Beller Rd, Woodridge; customer retained but home address blocked"
16106,US TRANS ONE,RESIDENTIAL_DO_NOT_ROUTE,ADDRESS_CORRECTED,"1226 N Webster St, Naperville, IL 60563"
25606,POWERMAX FREIGHT LLC,RESIDENTIAL_DO_NOT_ROUTE,UNCHANGED,"Existing residential block retained"
12635,GN EXPRESS,RESIDENTIAL_DO_NOT_ROUTE,ADDRESS_CORRECTED,"25015 Edison Ln, Plainfield, IL 60585"
25909,EDI EXPRESS,RESIDENTIAL_DO_NOT_ROUTE,UNCHANGED,"Existing residential block retained"
25817,KINGS GAMBIT INC.,RESIDENTIAL_DO_NOT_ROUTE,UNCHANGED,"Existing residential block retained"

DuplicateCustomerNumber,DuplicateName,DuplicateStatus,CanonicalRoutingDecision,CurrentVerifiedAddress
